speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
WOTH,55,7550,Wood Thrush,Grive des bois,Hylocichla mustelina,Hylocichla mustelina,1583,NULL,NULL,A,25:51.2
WRSA,47,2400,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,Calidris fuscicollis,502,NULL,NULL,A,25:51.4
WTPT,20,3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Lagopus leucura,130,NULL,NULL,A,25:51.5
WTSP,49,5580,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,Zonotrichia albicollis,1855,NULL,NULL,A,25:51.7
WTSW,54,4250,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Aeronautes saxatalis,273,NULL,NULL,A,25:51.8
WWCR,16,5220,White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,Loxia leucoptera,1759,NULL,NULL,A,25:51.9
WWSC,14,1650,White-winged Scoter,Macreuse brune,Melanitta fusca,Melanitta fusca,67,NULL,NULL,A,25:52.1
YBCH,58,6830,Yellow-breasted Chat,Paruline polyglotte,Icteria virens,Icteria virens,1884,NULL,NULL,A,25:52.2
YBCU,11,3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Coccyzus americanus,204,NULL,NULL,A,25:52.3
YBFL,56,4630,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,Empidonax flaviventris,1220,NULL,NULL,A,25:52.5
YBLO,32,80,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,Gavia adamsii,629,NULL,NULL,A,25:52.6
YBSA,60,4020,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,Sphyrapicus varius,953,NULL,NULL,A,25:52.7
YERA,46,2150,Yellow Rail,Râle jaune,Coturnicops noveboracensis,Coturnicops noveboracensis,400,NULL,NULL,A,25:52.9
YEWA,58,6520,Yellow Warbler,Paruline jaune,Setophaga petechia,Setophaga petechia,1992,NULL,NULL,A,25:53.0
YHBL,2,4970,Yellow-headed Blackbird,Carouge à tête jaune,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,1885,NULL,NULL,A,25:53.1
YRWA,58,6556,Yellow-rumped Warbler,Paruline à croupion jaune,Setophaga coronata,Setophaga coronata,1999,NULL,NULL,A,25:53.2
YTVI,57,6280,Yellow-throated Vireo,Viréo à gorge jaune,Vireo flavifrons,Vireo flavifrons,1350,NULL,NULL,A,25:53.4
