speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
CWWI,35,4160,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Antrostomus carolinensis,235,NULL,NULL,A,25:12.5
DCCO,8,1200,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,Phalacrocorax auritus,718,NULL,NULL,A,25:12.7
DEJU,49,5677,Dark-eyed Junco,Junco ardoisé,Junco hyemalis,Junco hyemalis,1860,NULL,NULL,A,25:12.8
DICK,5,6040,Dickcissel,Dickcissel d'Amérique,Spiza americana,Spiza americana,2065,NULL,NULL,A,25:12.9
DOVE,33,340,Dovekie,Mergule nain,Alle alle,Alle alle,541,NULL,NULL,A,25:13.0
DOWO,60,3940,Downy Woodpecker,Pic mineur,Picoides pubescens,Picoides pubescens,960,NULL,NULL,A,25:13.2
DUFL,56,4690,Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,Empidonax oberholseri,1228,NULL,NULL,A,25:13.3
DUNL,47,2430,Dunlin,Bécasseau variable,Calidris alpina,Calidris alpina,496,NULL,NULL,A,25:13.4
EABL,55,7660,Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,Sialia sialis,1555,NULL,NULL,A,25:13.5
EAGR,19,40,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Podiceps nigricollis,144,NULL,NULL,A,25:13.7
EAKI,56,4440,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,Tyrannus tyrannus,1279,NULL,NULL,A,25:13.8
EAME,2,5010,Eastern Meadowlark,Sturnelle des prés,Sturnella magna,Sturnella magna,1887,NULL,NULL,A,25:13.9
EAPH,56,4560,Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,Sayornis phoebe,1236,NULL,NULL,A,25:14.0
EASO,40,3730,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,Megascops asio,832,NULL,NULL,A,25:14.2
EATO,49,5870,Eastern Towhee,Tohi à flancs roux,Pipilo erythrophthalmus,Pipilo erythrophthalmus,1805,NULL,NULL,A,25:14.3
EAWP,56,4610,Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,Contopus virens,1214,NULL,NULL,A,25:14.4
ESCU,47,2660,Eskimo Curlew,Courlis esquimau,Numenius borealis,Numenius borealis,472,NULL,NULL,A,25:14.5
EUCD,13,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Streptopelia decaocto,164,NULL,NULL,A,25:14.7
EUST,50,4930,European Starling,Étourneau sansonnet,Sturnus vulgaris,Sturnus vulgaris,1633,NULL,NULL,A,25:14.8
EVGR,16,5140,Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,Coccothraustes vespertinus,1700,NULL,NULL,A,25:14.9
EWPW,35,4171,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Antrostomus vociferus,241,NULL,NULL,A,25:15.1
EYWA,43,6960,Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,Motacilla tschutschensis,1669,NULL,NULL,A,25:15.2
FEHA,22,3480,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Buteo regalis,820,NULL,NULL,A,25:15.3
FISP,49,5630,Field Sparrow,Bruant des champs,Spizella pusilla,Spizella pusilla,1831,NULL,NULL,A,25:15.4
FLOW,40,3740,Flammulated Owl,Petit-duc nain,Otus flammeolus,Otus flammeolus,830,NULL,NULL,A,25:15.6
FOSP,49,5850,Fox Sparrow,Bruant fauve,Passerella iliaca,Passerella iliaca,1850,NULL,NULL,A,25:15.7
FOTE,21,690,Forster's Tern,Sterne de Forster,Sterna forsteri,Sterna forsteri,615,NULL,NULL,A,25:15.8
FRGU,21,590,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Leucophaeus pipixcan,576,NULL,NULL,A,25:16.0
FTSP,52,1050,Fork-tailed Storm-Petrel,Océanite à queue fourchue,Oceanodroma furcata,Oceanodroma furcata,689,NULL,NULL,A,25:16.1
GADW,14,1350,Gadwall,Canard chipeau,Anas strepera,Anas strepera,40,NULL,NULL,A,25:16.2
GBBG,21,470,Great Black-backed Gull,Goéland marin,Larus marinus,Larus marinus,592,NULL,NULL,A,25:16.4
GBHE,23,1940,Great Blue Heron,Grand Héron,Ardea herodias,Ardea herodias,733,NULL,NULL,A,25:16.5
GCFL,56,4520,Great Crested Flycatcher,Tyran huppé,Myiarchus crinitus,Myiarchus crinitus,1251,NULL,NULL,A,25:16.6
GCKI,29,7480,Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,Regulus satrapa,1515,NULL,NULL,A,25:16.8
GCRF,16,5240,Gray-crowned Rosy-Finch,Roselin à tête grise,Leucosticte tephrocotis,Leucosticte tephrocotis,1745,NULL,NULL,A,25:16.9
GCSP,49,5570,Golden-crowned Sparrow,Bruant à couronne dorée,Zonotrichia atricapilla,Zonotrichia atricapilla,1858,NULL,NULL,A,25:17.0
GCTH,55,7570,Gray-cheeked Thrush,Grive à joues grises,Catharus minimus,Catharus minimus,1579,NULL,NULL,A,25:17.2
GGOW,40,3700,Great Gray Owl,Chouette lapone,Strix nebulosa,Strix nebulosa,861,NULL,NULL,A,25:17.3
GHCH,7,7390,Gray-headed Chickadee,Mésange lapone,Poecile cinctus,Poecile cinctus,1439,NULL,NULL,A,25:17.4
GHOW,40,3750,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,Bubo virginianus,844,NULL,NULL,A,25:17.6
GLGU,21,420,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,Larus hyperboreus,591,NULL,NULL,A,25:17.7
GOEA,22,3490,Golden Eagle,Aigle royal,Aquila chrysaetos,Aquila chrysaetos,823,NULL,NULL,A,25:17.8
GRAJ,27,4840,Canada Jay,Mésangeai du Canada,Perisoreus canadensis,Perisoreus canadensis,1362,NULL,NULL,A,25:18.0
GRAP,20,2881,Gray Partridge,Perdrix grise,Perdix perdix,Perdix perdix,118,NULL,NULL,A,25:18.1
GRCA,6,7040,Gray Catbird,Moqueur chat,Dumetella carolinensis,Dumetella carolinensis,1612,NULL,NULL,A,25:18.2
GRCO,8,1190,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,Phalacrocorax carbo,719,NULL,NULL,A,25:18.3
GREG,23,1960,Great Egret,Grande Aigrette,Ardea alba,Ardea alba,737,NULL,NULL,A,25:18.5
GRFL,56,4691,Gray Flycatcher,Moucherolle gris,Empidonax wrightii,Empidonax wrightii,1227,NULL,NULL,A,25:18.6
GRHE,23,2010,Green Heron,Héron vert,Butorides virescens,Butorides virescens,749,NULL,NULL,A,25:18.7
GRSC,14,1480,Greater Scaup,Fuligule milouinan,Aythya marila,Aythya marila,58,NULL,NULL,A,25:18.9
GRSG,20,3090,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Centrocercus urophasianus,125,NULL,NULL,A,25:19.0
GRSP,49,5460,Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,Ammodramus savannarum,1842,NULL,NULL,A,25:19.1
GRYE,47,2540,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,Tringa melanoleuca,527,NULL,NULL,A,25:19.2
GWFG,14,1710,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anser albifrons,15,NULL,NULL,A,25:19.4
GWGU,21,440,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,Larus glaucescens,590,NULL,NULL,A,25:19.5
GWTE,14,1390,Green-winged Teal,Sarcelle d'hiver,Anas crecca,Anas crecca,52,NULL,NULL,A,25:19.6
GWWA,58,6420,Golden-winged Warbler,Paruline à ailes dorées,Vermivora chrysoptera,Vermivora chrysoptera,1951,NULL,NULL,A,25:19.7
GYRF,15,3540,Gyrfalcon,Faucon gerfaut,Falco rusticolus,Falco rusticolus,1004,NULL,NULL,A,25:19.9
HADU,14,1550,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,Histrionicus histrionicus,64,NULL,NULL,A,25:20.0
HAFL,56,4680,Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,Empidonax hammondii,1226,NULL,NULL,A,25:20.2
HASP,49,5530,Harris's Sparrow,Bruant à face noire,Zonotrichia querula,Zonotrichia querula,1856,NULL,NULL,A,25:20.3
HAWO,60,3930,Hairy Woodpecker,Pic chevelu,Picoides villosus,Picoides villosus,962,NULL,NULL,A,25:20.4
HDFL,56,4689,Unidentified Hammond's/Dusky Flycatcher,Moucherolle de Hammond/Moucherolle sombre non identifié,Empidonax sp.,Empidonax sp.,1228.999,NULL,NULL,A,25:20.5
HERG,21,510,Herring Gull,Goéland argenté,Larus argentatus,Larus argentatus,585,NULL,NULL,A,25:20.7
HESP,49,5470,Henslow's Sparrow,Bruant de Henslow,Ammodramus henslowii,Ammodramus henslowii,1844,NULL,NULL,A,25:20.8
HETH,55,7590,Hermit Thrush,Grive solitaire,Catharus guttatus,Catharus guttatus,1582,NULL,NULL,A,25:21.0
HOFI,16,5190,House Finch,Roselin familier,Haemorhous mexicanus,Haemorhous mexicanus,1748,NULL,NULL,A,25:21.1
HOGR,19,30,Horned Grebe,Grèbe esclavon,Podiceps auritus,Podiceps auritus,142,NULL,NULL,A,25:21.2
HOLA,30,4740,Horned Lark,Alouette hausse-col,Eremophila alpestris,Eremophila alpestris,1410,NULL,NULL,A,25:21.4
HOME,14,1310,Hooded Merganser,Harle couronné,Lophodytes cucullatus,Lophodytes cucullatus,75,NULL,NULL,A,25:21.5
HOPU,33,140,Horned Puffin,Macareux cornu,Fratercula corniculata,Fratercula corniculata,562,NULL,NULL,A,25:21.6
HORE,16,5270,Hoary Redpoll,Sizerin blanchâtre,Acanthis hornemanni,Acanthis hornemanni,1755,NULL,NULL,A,25:21.8
HOSP,38,6882,House Sparrow,Moineau domestique,Passer domesticus,Passer domesticus,1667,NULL,NULL,A,25:21.9
HOWA,58,6840,Hooded Warbler,Paruline à capuchon,Setophaga citrina,Setophaga citrina,1982,NULL,NULL,A,25:22.0
HOWR,61,7210,House Wren,Troglodyte familier,Troglodytes aedon,Troglodytes aedon,1459,NULL,NULL,A,25:22.1
HUGO,47,2510,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,Limosa haemastica,479,NULL,NULL,A,25:22.3
HUVI,57,6320,Hutton's Vireo,Viréo de Hutton,Vireo huttoni,Vireo huttoni,1349,NULL,NULL,A,25:22.4
ICGU,21,430,Iceland Gull,Goéland arctique,Larus glaucoides,Larus glaucoides,587,NULL,NULL,A,25:22.6
INBU,5,5980,Indigo Bunting,Passerin indigo,Passerina cyanea,Passerina cyanea,2060,NULL,NULL,A,25:22.7
IVGU,21,390,Ivory Gull,Mouette blanche,Pagophila eburnea,Pagophila eburnea,567,NULL,NULL,A,25:22.9
KIEI,14,1620,King Eider,Eider à tête grise,Somateria spectabilis,Somateria spectabilis,62,NULL,NULL,A,25:23.0
KILL,44,2730,Killdeer,Pluvier kildir,Charadrius vociferus,Charadrius vociferus,462,NULL,NULL,A,25:23.1
KIRA,46,2080,King Rail,Râle élégant,Rallus elegans,Rallus elegans,411,NULL,NULL,A,25:23.2
KIWA,58,6700,Kirtland's Warbler,Paruline de Kirtland,Setophaga kirtlandii,Setophaga kirtlandii,1984,NULL,NULL,A,25:23.4
LAGU,21,580,Laughing Gull,Mouette atricille,Leucophaeus atricilla,Leucophaeus atricilla,575,NULL,NULL,A,25:23.5
LALO,31,5360,Lapland Longspur,Plectrophane lapon,Calcarius lapponicus,Calcarius lapponicus,1772,NULL,NULL,A,25:23.6
LARB,49,6050,Lark Bunting,Bruant noir et blanc,Calamospiza melanocorys,Calamospiza melanocorys,1840,NULL,NULL,A,25:23.7
LASP,49,5520,Lark Sparrow,Bruant à joues marron,Chondestes grammacus,Chondestes grammacus,1835,NULL,NULL,A,25:23.9
LAWA,58,6413,Blue-winged/Golden-winged hybrid Lawrence's form,Paruline de Lawrence,"Vermivora cyanoptera x chrysoptera ""lawrencii""","Vermivora cyanoptera x chrysoptera ""lawrencii""",1951.5552,NULL,NULL,A,25:24.0
LAZB,5,5990,Lazuli Bunting,Passerin azuré,Passerina amoena,Passerina amoena,2059,NULL,NULL,A,25:24.2
LBCU,47,2640,Long-billed Curlew,Courlis à long bec,Numenius americanus,Numenius americanus,473,NULL,NULL,A,25:24.3
LBDO,47,2320,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,Limnodromus scolopaceus,508,NULL,NULL,A,25:24.4
LCSP,49,5480,LeConte's Sparrow,Bruant de Le Conte,Ammodramus leconteii,Ammodramus leconteii,1845,NULL,NULL,A,25:24.5
LEBI,23,1910,Least Bittern,Petit Blongios,Ixobrychus exilis,Ixobrychus exilis,728,NULL,NULL,A,25:24.7
LEFL,56,4670,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,Empidonax minimus,1225,NULL,NULL,A,25:24.8
LEOW,40,3660,Long-eared Owl,Hibou moyen-duc,Asio otus,Asio otus,862,NULL,NULL,A,25:24.9
LESA,47,2420,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,Calidris minutilla,501,NULL,NULL,A,25:25.0
LESC,14,1490,Lesser Scaup,Petit Fuligule,Aythya affinis,Aythya affinis,59,NULL,NULL,A,25:25.2
LESP,52,1060,Leach's Storm-Petrel,Océanite cul-blanc,Oceanodroma leucorhoa,Oceanodroma leucorhoa,692,NULL,NULL,A,25:25.3
LEWO,60,4080,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Melanerpes lewis,934,NULL,NULL,A,25:25.4
LEYE,47,2550,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,Tringa flavipes,523,NULL,NULL,A,25:25.6
LIGU,21,601,Little Gull,Mouette pygmée,Hydrocoloeus minutus,Hydrocoloeus minutus,572,NULL,NULL,A,25:25.7
LISP,49,5830,Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,Melospiza lincolnii,1852,NULL,NULL,A,25:25.8
LOSH,48,6220,Loggerhead Shrike,Pie-grièche migratrice,Lanius ludovicianus,Lanius ludovicianus,1323,NULL,NULL,A,25:25.9
LOWA,58,6760,Louisiana Waterthrush,Paruline hochequeue,Parkesia motacilla,Parkesia motacilla,1948,NULL,NULL,A,25:26.1
LTDU,14,1540,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,Clangula hyemalis,70,NULL,NULL,A,25:26.2
LTJA,26,380,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,Stercorarius longicaudus,540,NULL,NULL,A,25:26.3
MAGO,47,2490,Marbled Godwit,Barge marbrée,Limosa fedoa,Limosa fedoa,480,NULL,NULL,A,25:26.5
MALL,14,1320,Mallard,Canard colvert,Anas platyrhynchos,Anas platyrhynchos,47,NULL,NULL,A,25:26.6
MAMU,33,230,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,Brachyramphus marmoratus,549,NULL,NULL,A,25:26.7
MASH,17,900,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,Puffinus puffinus,678,NULL,NULL,A,25:26.9
MAWA,58,6570,Magnolia Warbler,Paruline à tête cendrée,Setophaga magnolia,Setophaga magnolia,1989,NULL,NULL,A,25:27.0
MAWR,61,7250,Marsh Wren,Troglodyte des marais,Cistothorus palustris,Cistothorus palustris,1468,NULL,NULL,A,25:27.2
MCLO,31,5390,Thick-billed Longspur,Plectrophane de McCown,Rhynchophanes mccownii,Rhynchophanes mccownii,1775,NULL,NULL,A,25:27.3
MEGU,21,550,Mew Gull,Goéland cendré,Larus canus,Larus canus,580,NULL,NULL,A,25:27.4
MERL,15,3570,Merlin,Faucon émerillon,Falco columbarius,Falco columbarius,999,NULL,NULL,A,25:27.5
MGWA,58,6800,MacGillivray's Warbler,Paruline des buissons,Geothlypis tolmiei,Geothlypis tolmiei,1968,NULL,NULL,A,25:27.7
MOBL,55,7680,Mountain Bluebird,Merlebleu azuré,Sialia currucoides,Sialia currucoides,1557,NULL,NULL,A,25:27.8
MOCH,7,7380,Mountain Chickadee,Mésange de Gambel,Poecile gambeli,Poecile gambeli,1435,NULL,NULL,A,25:27.9
MODO,13,3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Zenaida macroura,197,NULL,NULL,A,25:28.0
MOPL,44,2810,Mountain Plover,Pluvier montagnard,Charadrius montanus,Charadrius montanus,464,NULL,NULL,A,25:28.2
MOWA,58,6790,Mourning Warbler,Paruline triste,Geothlypis philadelphia,Geothlypis philadelphia,1969,NULL,NULL,A,25:28.3
MUSW,14,1782,Mute Swan,Cygne tuberculé,Cygnus olor,Cygnus olor,25,NULL,NULL,A,25:28.4
NAWA,58,6450,Nashville Warbler,Paruline à joues grises,Oreothlypis ruficapilla,Oreothlypis ruficapilla,1962,NULL,NULL,A,25:28.6
NESP,49,5491,Nelson's Sparrow,Bruant de Nelson,Ammodramus nelsoni,Ammodramus nelsoni,1846,NULL,NULL,A,25:28.7
NHOW,40,3770,Northern Hawk Owl,Chouette épervière,Surnia ulula,Surnia ulula,846,NULL,NULL,A,25:28.8
NOBO,45,2890,Northern Bobwhite,Colin de Virginie,Colinus virginianus,Colinus virginianus,98,NULL,NULL,A,25:29.0
NOCA,5,5930,Northern Cardinal,Cardinal rouge,Cardinalis cardinalis,Cardinalis cardinalis,2047,NULL,NULL,A,25:29.1
NOCR,27,4890,Northwestern Crow,Corneille d'Alaska,Corvus caurinus,Corvus caurinus,1394,NULL,NULL,A,25:29.2
NOFL,60,4123,Northern Flicker,Pic flamboyant,Colaptes auratus,Colaptes auratus,976,NULL,NULL,A,25:29.4
NOFU,17,860,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,Fulmarus glacialis,641,NULL,NULL,A,25:29.5
NOGA,3,1170,Northern Gannet,Fou de Bassan,Morus bassanus,Morus bassanus,715,NULL,NULL,A,25:29.6
NOGO,22,3340,Northern Goshawk,Autour des palombes,Accipiter gentilis,Accipiter gentilis,795,NULL,NULL,A,25:29.8
NOHA,22,3310,Northern Harrier,Busard Saint-Martin,Circus cyaneus,Circus cyaneus,785,NULL,NULL,A,25:29.9
NOMO,6,7030,Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,Mimus polyglottos,1632,NULL,NULL,A,25:30.0
NOPA,58,6480,Northern Parula,Paruline à collier,Setophaga americana,Setophaga americana,1987,NULL,NULL,A,25:30.2
NOPI,14,1430,Northern Pintail,Canard pilet,Anas acuta,Anas acuta,51,NULL,NULL,A,25:30.3
NOPO,40,3790,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,Glaucidium gnoma,847,NULL,NULL,A,25:30.4
NOWA,58,6750,Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,Parkesia noveboracensis,1949,NULL,NULL,A,25:30.6
NOWH,37,7650,Northern Wheatear,Traquet motteux,Oenanthe oenanthe,Oenanthe oenanthe,1554,NULL,NULL,A,25:30.7
NRWS,53,6170,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,Stelgidopteryx serripennis,1426,NULL,NULL,A,25:30.8
NSHO,14,1420,Northern Shoveler,Canard souchet,Anas clypeata,Anas clypeata,39,NULL,NULL,A,25:31.0
NSHR,48,6210,Northern Shrike,Pie-grièche grise,Lanius excubitor,Lanius excubitor,1324,NULL,NULL,A,25:31.1
NSWO,40,3720,Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,Aegolius acadicus,868,NULL,NULL,A,25:31.3
OCWA,58,6460,Orange-crowned Warbler,Paruline verdâtre,Oreothlypis celata,Oreothlypis celata,1959,NULL,NULL,A,25:31.4
OROR,2,5060,Orchard Oriole,Oriole des vergers,Icterus spurius,Icterus spurius,1908,NULL,NULL,A,25:31.5
OSFL,56,4590,Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,Contopus cooperi,1209,NULL,NULL,A,25:31.7
OSPR,39,3640,Osprey,Balbuzard pêcheur,Pandion haliaetus,Pandion haliaetus,769,NULL,NULL,A,25:31.8
OVEN,58,6740,Ovenbird,Paruline couronnée,Seiurus aurocapilla,Seiurus aurocapilla,1946,NULL,NULL,A,25:31.9
PAJA,26,370,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,Stercorarius parasiticus,539,NULL,NULL,A,25:32.1
PALO,32,100,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,Gavia pacifica,627,NULL,NULL,A,25:32.2
PAWA,58,6720,Palm Warbler,Paruline à couronne rousse,Setophaga palmarum,Setophaga palmarum,1996,NULL,NULL,A,25:32.3
PAWR,61,7221,Pacific Wren,Troglodyte de Baird,Troglodytes pacificus,Troglodytes pacificus,1464,NULL,NULL,A,25:32.4
PBGR,19,60,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Podilymbus podiceps,140,NULL,NULL,A,25:32.6
PECO,8,1230,Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,Phalacrocorax pelagicus,721,NULL,NULL,A,25:32.7
PEFA,15,3560,Peregrine Falcon,Faucon pèlerin,Falco peregrinus,Falco peregrinus,1005,NULL,NULL,A,25:32.8
PESA,47,2390,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,Calidris melanotos,504,NULL,NULL,A,25:33.0
PHVI,57,6260,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,Vireo philadelphicus,1355,NULL,NULL,A,25:33.1
PIGR,16,5150,Pine Grosbeak,Durbec des sapins,Pinicola enucleator,Pinicola enucleator,1742,NULL,NULL,A,25:33.2
PIGU,33,290,Pigeon Guillemot,Guillemot colombin,Cepphus columba,Cepphus columba,547,NULL,NULL,A,25:33.4
PIPL,44,2770,Piping Plover,Pluvier siffleur,Charadrius melodus,Charadrius melodus,460,NULL,NULL,A,25:33.5
PISI,16,5330,Pine Siskin,Tarin des pins,Spinus pinus,Spinus pinus,1762,NULL,NULL,A,25:33.6
PIWA,58,6710,Pine Warbler,Paruline des pins,Setophaga pinus,Setophaga pinus,1998,NULL,NULL,A,25:33.7
PIWO,60,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Dryocopus pileatus,982,NULL,NULL,A,25:33.9
POJA,26,360,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,Stercorarius pomarinus,538,NULL,NULL,A,25:34.0
PRAW,58,6730,Prairie Warbler,Paruline des prés,Setophaga discolor,Setophaga discolor,2003,NULL,NULL,A,25:34.2
PRFA,15,3550,Prairie Falcon,Faucon des prairies,Falco mexicanus,Falco mexicanus,1006,NULL,NULL,A,25:34.3
PROW,58,6370,Prothonotary Warbler,Paruline orangée,Protonotaria citrea,Protonotaria citrea,1954,NULL,NULL,A,25:34.4
PSFL,56,4641,Pacific-slope Flycatcher,Moucherolle côtier,Empidonax difficilis,Empidonax difficilis,1230,NULL,NULL,A,25:34.6
PUFI,16,5170,Purple Finch,Roselin pourpré,Haemorhous purpureus,Haemorhous purpureus,1749,NULL,NULL,A,25:34.7
PUMA,53,6110,Purple Martin,Hirondelle noire,Progne subis,Progne subis,1411,NULL,NULL,A,25:34.8
PUSA,47,2350,Purple Sandpiper,Bécasseau violet,Calidris maritima,Calidris maritima,498,NULL,NULL,A,25:34.9
PWWR,61,7220,Unidentified Pacific Wren / Winter Wren,Troglodyte de Baird ou des forêts non-identifié,Troglodytes sp.,Troglodytes sp.,1465.999,NULL,NULL,A,25:35.1
PYNU,36,7300,Pygmy Nuthatch,Sittelle pygmée,Sitta pygmaea,Sitta pygmaea,1449,NULL,NULL,A,25:35.2
RAZO,33,320,Razorbill,Petit Pingouin,Alca torda,Alca torda,544,NULL,NULL,A,25:35.3
RBGR,5,5950,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,Pheucticus ludovicianus,2051,NULL,NULL,A,25:35.5
RBGU,21,540,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,Larus delawarensis,581,NULL,NULL,A,25:35.6
RBME,14,1300,Red-breasted Merganser,Harle huppé,Mergus serrator,Mergus serrator,77,NULL,NULL,A,25:35.7
RBNU,36,7280,Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,Sitta canadensis,1447,NULL,NULL,A,25:35.9
RBSA,60,4030,Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,Sphyrapicus ruber,955,NULL,NULL,A,25:36.0
RBWO,60,4090,Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,Melanerpes carolinus,950,NULL,NULL,A,25:36.1
RCKI,29,7490,Ruby-crowned Kinglet,Roitelet à couronne rubis,Regulus calendula,Regulus calendula,1516,NULL,NULL,A,25:36.3
RECR,16,5210,Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,Loxia curvirostra,1756,NULL,NULL,A,25:36.4
REDH,14,1460,Redhead,Fuligule à tête rouge,Aythya americana,Aythya americana,54,NULL,NULL,A,25:36.5
REKN,47,2340,Red Knot,Bécasseau maubèche,Calidris canutus,Calidris canutus,484,NULL,NULL,A,25:36.7
REPH,47,2220,Red Phalarope,Phalarope à bec large,Phalaropus fulicarius,Phalaropus fulicarius,533,NULL,NULL,A,25:36.8
REVI,57,6240,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,Vireo olivaceus,1358,NULL,NULL,A,25:36.9
RHAU,33,150,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,Cerorhinca monocerata,560,NULL,NULL,A,25:37.0
RHWO,60,4060,Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,Melanerpes erythrocephalus,937,NULL,NULL,A,25:37.2
RLHA,22,3470,Rough-legged Hawk,Buse pattue,Buteo lagopus,Buteo lagopus,819,NULL,NULL,A,25:37.3
RNDU,14,1500,Ring-necked Duck,Fuligule à collier,Aythya collaris,Aythya collaris,56,NULL,NULL,A,25:37.4
RNEP,20,3091,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Phasianus colchicus,122,NULL,NULL,A,25:37.5
RNGR,19,20,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Podiceps grisegena,143,NULL,NULL,A,25:37.7
RNPH,47,2230,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,Phalaropus lobatus,532,NULL,NULL,A,25:37.8
RNSA,60,4021,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,Sphyrapicus nuchalis,954,NULL,NULL,A,25:37.9
ROGO,14,1700,Ross's Goose,Oie de Ross,Chen rossii,Chen rossii,13,NULL,NULL,A,25:38.1
ROGU,21,610,Ross's Gull,Mouette rosée,Rhodostethia rosea,Rhodostethia rosea,573,NULL,NULL,A,25:38.2
ROPI,13,3131,Rock Pigeon,Pigeon biset,Columba livia,Columba livia,148,NULL,NULL,A,25:38.3
ROPT,20,3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Lagopus muta,129,NULL,NULL,A,25:38.4
ROST,21,720,Roseate Tern,Sterne de Dougall,Sterna dougallii,Sterna dougallii,612,NULL,NULL,A,25:38.6
ROWR,61,7150,Rock Wren,Troglodyte des rochers,Salpinctes obsoletus,Salpinctes obsoletus,1452,NULL,NULL,A,25:38.7
RSHA,22,3390,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Buteo lineatus,811,NULL,NULL,A,25:38.8
RTHA,22,3370,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,Buteo jamaicensis,818,NULL,NULL,A,25:38.9
RTHU,24,4280,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Archilochus colubris,331,NULL,NULL,A,25:39.1
RTLO,32,110,Red-throated Loon,Plongeon catmarin,Gavia stellata,Gavia stellata,625,NULL,NULL,A,25:39.2
